epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1555.73,1.10035,0.57352,0.92366,0.91383,0.95231,0.9583,0.57135,1.31629,0.58442,0.97109,0.000742625,0.000742625,0.000742625
43,1593.05,1.13953,0.58191,0.92207,0.96164,0.9395,0.96449,0.59203,1.274,0.56291,0.97562,0.00073025,0.00073025,0.00073025
44,1628.58,1.14416,0.58366,0.91818,0.93531,0.93198,0.95249,0.54571,1.31436,0.58652,0.97099,0.000717875,0.000717875,0.000717875
45,1663.68,1.08864,0.57022,0.91427,0.93828,0.91511,0.95813,0.55735,1.32382,0.57657,0.97357,0.0007055,0.0007055,0.0007055
46,1698.73,1.09443,0.56012,0.92487,0.93642,0.94336,0.95509,0.55787,1.30729,0.56769,0.97247,0.000693125,0.000693125,0.000693125
47,1734.12,1.07823,0.54386,0.9037,0.92914,0.91904,0.95908,0.56419,1.29272,0.57014,0.95135,0.00068075,0.00068075,0.00068075
48,1769.29,1.11107,0.5609,0.92209,0.92321,0.89779,0.94391,0.54466,1.34354,0.59223,0.98167,0.000668375,0.000668375,0.000668375
49,1804.61,1.09949,0.55229,0.92041,0.90789,0.9192,0.95181,0.55464,1.3452,0.58081,0.98305,0.000656,0.000656,0.000656
50,1841.6,1.07963,0.53479,0.90422,0.94864,0.91913,0.95646,0.561,1.30127,0.56333,0.97837,0.000643625,0.000643625,0.000643625
51,1878.4,1.08898,0.54714,0.91923,0.91578,0.93567,0.94387,0.56131,1.2648,0.5803,0.95686,0.00063125,0.00063125,0.00063125
52,1913.8,1.08138,0.53494,0.90358,0.93803,0.92279,0.9532,0.5605,1.28893,0.55939,0.97287,0.000618875,0.000618875,0.000618875
53,1948.96,1.07854,0.54489,0.90535,0.95439,0.92592,0.95369,0.57769,1.31133,0.56178,0.9804,0.0006065,0.0006065,0.0006065
54,1984.27,1.05943,0.52567,0.90465,0.94592,0.90141,0.95104,0.55085,1.34765,0.58368,0.98217,0.000594125,0.000594125,0.000594125
55,2019.39,1.0653,0.53521,0.91138,0.92948,0.91474,0.96375,0.54445,1.35975,0.57149,1.00007,0.00058175,0.00058175,0.00058175
56,2054.52,1.0597,0.53665,0.90921,0.95672,0.90538,0.95222,0.55807,1.42271,0.59295,1.01923,0.000569375,0.000569375,0.000569375
57,2090.31,1.08545,0.53633,0.90143,0.96272,0.91333,0.94159,0.5488,1.41196,0.61134,0.98466,0.000557,0.000557,0.000557
58,2126.25,1.06461,0.53036,0.90718,0.94799,0.90935,0.94949,0.54571,1.34417,0.58466,0.97052,0.000544625,0.000544625,0.000544625
59,2162.69,1.06564,0.53032,0.89998,0.95146,0.90055,0.94283,0.56196,1.2974,0.57728,0.97839,0.00053225,0.00053225,0.00053225
