epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.9964,1.86902,3.49092,1.17994,0.00945,0.26162,0.06521,0.03422,1.54694,3.75574,0.98702,0.000405702,0.000405702,0.000405702
2,25.3772,1.6608,1.9397,1.10503,0.009,0.58179,0.33982,0.19141,1.55922,3.29668,1.09185,0.000806086,0.000806086,0.000806086
3,33.9868,1.55408,1.7111,1.0913,0.78522,0.39801,0.67234,0.35046,1.49044,2.24588,1.06594,0.00118997,0.00118997,0.00118997
4,43.3476,1.6094,1.62691,1.09155,0.88113,0.79965,0.85406,0.44906,1.42962,1.51484,1.0633,0.00117575,0.00117575,0.00117575
5,54.497,1.56998,1.44818,1.05093,0.8776,0.82609,0.88275,0.47083,1.44394,1.20383,1.03741,0.001151,0.001151,0.001151
6,63.8144,1.51364,1.40973,1.03694,0.9157,0.78761,0.8949,0.52339,1.34389,1.00035,1.03113,0.00112625,0.00112625,0.00112625
7,73.2589,1.45173,1.25856,1.02744,0.94722,0.83667,0.93021,0.53125,1.26774,0.95201,1.00024,0.0011015,0.0011015,0.0011015
8,82.3692,1.40674,1.17563,0.99002,0.918,0.85146,0.92549,0.48763,1.36272,0.95012,1.04226,0.00107675,0.00107675,0.00107675
9,91.6836,1.36106,1.05743,0.98862,0.94091,0.94029,0.96221,0.53793,1.29741,0.73498,1.00628,0.001052,0.001052,0.001052
10,100.558,1.41557,1.12269,1.00821,0.92388,0.89675,0.93837,0.50173,1.36482,0.8264,1.04814,0.00102725,0.00102725,0.00102725
11,109.418,1.35667,1.06793,1.00811,0.92833,0.93732,0.95231,0.55452,1.29275,0.71329,1.01039,0.0010025,0.0010025,0.0010025
12,118.009,1.35156,0.98556,0.99051,0.92438,0.94949,0.94683,0.52698,1.32408,0.74751,1.07841,0.00097775,0.00097775,0.00097775
13,126.498,1.37419,1.00095,1.01117,0.93373,0.94562,0.96253,0.53418,1.29794,0.71761,1.01773,0.000953,0.000953,0.000953
14,136.168,1.36003,0.97122,0.97974,0.91908,0.90553,0.93895,0.53199,1.33901,0.76044,1.02329,0.00092825,0.00092825,0.00092825
15,145.223,1.31875,0.93252,0.98647,0.93111,0.90031,0.94747,0.53945,1.34374,0.7547,1.04035,0.0009035,0.0009035,0.0009035
16,153.767,1.3128,0.89143,0.9614,0.9337,0.91281,0.95939,0.54458,1.30221,0.70454,1.02238,0.00087875,0.00087875,0.00087875
17,162.225,1.32069,0.88263,0.95114,0.90702,0.91723,0.9497,0.55032,1.26068,0.70312,1.00765,0.000854,0.000854,0.000854
18,170.678,1.28374,0.86455,0.97803,0.95385,0.90389,0.95629,0.54298,1.25622,0.66088,1.01006,0.00082925,0.00082925,0.00082925
19,179.167,1.30284,0.84017,0.95908,0.92715,0.89491,0.93854,0.53646,1.31103,0.71048,1.02578,0.0008045,0.0008045,0.0008045
20,187.769,1.27065,0.82326,0.94402,0.92411,0.94918,0.96532,0.55171,1.27711,0.68435,1.0091,0.00077975,0.00077975,0.00077975
21,196.591,1.26201,0.79957,0.94665,0.9459,0.91265,0.95044,0.56552,1.26215,0.68296,1.01903,0.000755,0.000755,0.000755
22,205.823,1.284,0.80286,0.94475,0.92665,0.9645,0.96303,0.55755,1.22431,0.64427,0.98527,0.00073025,0.00073025,0.00073025
23,214.268,1.25909,0.80969,0.94261,0.93988,0.95259,0.96602,0.58932,1.23231,0.64731,0.98931,0.0007055,0.0007055,0.0007055
