epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
24,222.788,1.25662,0.80241,0.94836,0.95068,0.92143,0.95415,0.55585,1.25595,0.63701,0.98655,0.00068075,0.00068075,0.00068075
25,232.401,1.192,0.76981,0.95168,0.91941,0.9363,0.95728,0.58072,1.19509,0.62994,0.97733,0.000656,0.000656,0.000656
26,245.084,1.24006,0.77612,0.93731,0.90652,0.95953,0.96433,0.55457,1.23622,0.6373,0.97205,0.00063125,0.00063125,0.00063125
27,254.218,1.21439,0.74963,0.94586,0.94776,0.91803,0.95154,0.5653,1.25926,0.64445,0.99772,0.0006065,0.0006065,0.0006065
28,263.042,1.21148,0.70842,0.91494,0.92635,0.92587,0.95263,0.57812,1.1886,0.61906,0.96949,0.00058175,0.00058175,0.00058175
29,271.466,1.19005,0.74147,0.95263,0.9019,0.9645,0.96136,0.58961,1.2183,0.62061,0.97511,0.000557,0.000557,0.000557
30,279.962,1.21434,0.71642,0.93682,0.93373,0.96231,0.96264,0.58561,1.21879,0.63135,0.99737,0.00053225,0.00053225,0.00053225
31,288.439,1.20268,0.71532,0.93748,0.91082,0.9635,0.96314,0.60293,1.18808,0.63554,0.98104,0.0005075,0.0005075,0.0005075
32,296.926,1.19238,0.69188,0.94124,0.9366,0.94083,0.96706,0.58672,1.20175,0.5946,0.97056,0.00048275,0.00048275,0.00048275
33,305.387,1.18465,0.66377,0.90517,0.94734,0.94919,0.96559,0.58801,1.20892,0.59191,0.96439,0.000458,0.000458,0.000458
34,313.838,1.17901,0.6685,0.91945,0.92196,0.95861,0.96912,0.59292,1.19967,0.59608,0.96754,0.00043325,0.00043325,0.00043325
35,322.294,1.19111,0.6731,0.9312,0.93509,0.92689,0.95981,0.60242,1.16377,0.57918,0.96255,0.0004085,0.0004085,0.0004085
36,330.746,1.16464,0.64962,0.91291,0.92715,0.95717,0.96773,0.60123,1.18692,0.59023,0.956,0.00038375,0.00038375,0.00038375
37,339.154,1.17188,0.65428,0.90989,0.95693,0.95273,0.97162,0.60075,1.16766,0.58843,0.95946,0.000359,0.000359,0.000359
38,347.799,1.17773,0.65306,0.92702,0.93645,0.93194,0.96624,0.58511,1.22106,0.59055,0.98395,0.00033425,0.00033425,0.00033425
39,356.439,1.13932,0.6291,0.89675,0.92049,0.96188,0.96463,0.5992,1.1818,0.59142,0.96498,0.0003095,0.0003095,0.0003095
40,365.049,1.16381,0.63238,0.92268,0.94531,0.95965,0.96824,0.5933,1.21199,0.56721,0.97765,0.00028475,0.00028475,0.00028475
41,418.874,1.09537,0.64939,0.90366,0.93738,0.96474,0.97564,0.6105,1.17161,0.55598,0.95946,0.00026,0.00026,0.00026
42,427.628,1.08669,0.64345,0.90782,0.9574,0.96414,0.97159,0.60318,1.19,0.55348,0.96391,0.00023525,0.00023525,0.00023525
43,436.013,1.0747,0.61988,0.91291,0.95986,0.97038,0.96884,0.6086,1.17588,0.57156,0.95705,0.0002105,0.0002105,0.0002105
44,444.39,1.06778,0.61195,0.90009,0.94306,0.9645,0.97078,0.60681,1.19118,0.55923,0.96226,0.00018575,0.00018575,0.00018575
45,452.833,1.06618,0.60322,0.89604,0.94227,0.97038,0.97136,0.5967,1.23338,0.57391,0.97225,0.000161,0.000161,0.000161
46,461.248,1.05354,0.61143,0.88793,0.95396,0.96689,0.96902,0.60616,1.15838,0.5677,0.95727,0.00013625,0.00013625,0.00013625
47,469.596,1.05534,0.609,0.8803,0.95798,0.96697,0.96762,0.59909,1.17015,0.5655,0.96483,0.0001115,0.0001115,0.0001115
48,478.063,1.04918,0.59005,0.89151,0.95556,0.9645,0.97024,0.59626,1.18795,0.5514,0.96849,8.675e-05,8.675e-05,8.675e-05
49,486.457,1.05573,0.59749,0.88128,0.95537,0.97038,0.97076,0.60425,1.17346,0.55268,0.96548,6.2e-05,6.2e-05,6.2e-05
50,494.831,1.07571,0.60584,0.88508,0.95108,0.97038,0.97081,0.60649,1.15415,0.54478,0.96222,3.725e-05,3.725e-05,3.725e-05
